Trip_ID,start_area,end_area,distance_km,time_of_day,day_of_week,weather_condition,traffic_density_level,road_type,average_speed_kmph,travel_time_minutes,adjusted_speed,adjusted_travel_time,start_zone,end_zone,zone
TRIP_00024,Model Town,Shahdara,10.5,Night,Weekend,Heatwave,Low,Highway,79.8,7.8,67.83,9.287925696594428,North,Other,North Delhi
TRIP_00025,Greater Kailash,Rohini,28.43,Evening Peak,Weekday,Rain,Very High,Highway,12.5,141.5,10.625,160.5458823529412,South,North,South Delhi
TRIP_00026,Pitampura,AIIMS,17.0,Afternoon,Weekday,Fog,High,Main Road,15.9,65.1,13.515,75.47169811320754,North,Other,Other
TRIP_00027,Connaught Place,Nehru Place,9.83,Evening Peak,Weekend,Heatwave,Medium,Main Road,26.8,21.4,22.78,25.891132572431957,Central,Other,Central Delhi
TRIP_00028,Greater Kailash,AIIMS,3.26,Morning Peak,Weekday,Clear,High,Main Road,27.2,7.6,23.119999999999997,8.460207612456747,South,Other,South Delhi
TRIP_00029,Hauz Khas,Shahdara,16.26,Morning Peak,Weekday,Rain,Medium,Highway,47.8,19.9,40.629999999999995,24.011813930593163,Other,Other,Other
TRIP_00030,Rajouri Garden,IGI Airport,10.32,Morning Peak,Weekday,Clear,High,Main Road,19.0,32.9,16.15,38.3405572755418,West,Other,Other
TRIP_00031,Greater Kailash,Civil Lines,14.87,Morning Peak,Weekend,Rain,Medium,Main Road,24.6,35.3,20.91,42.668579626972736,South,Other,South Delhi
TRIP_00032,Rajouri Garden,Saket,15.91,Morning Peak,Weekday,Clear,Medium,Highway,64.9,14.3,55.165000000000006,17.304450285507112,West,South,Other
TRIP_00033,Kalkaji,Vasant Kunj,9.44,Afternoon,Weekday,Rain,Low,Inner Road,25.4,21.7,21.59,26.23436776285317,South,South,South Delhi
TRIP_00034,Connaught Place,Noida Sector 18,12.67,Evening Peak,Weekday,Clear,Very High,Highway,20.2,38.5,17.169999999999998,44.27489807804311,Central,Other,Central Delhi
TRIP_00035,Connaught Place,Karol Bagh,3.42,Evening Peak,Weekend,Rain,High,Inner Road,7.8,26.0,6.63,30.950226244343888,Central,Central,Central Delhi
TRIP_00036,Rajouri Garden,Punjabi Bagh,2.52,Evening Peak,Weekday,Clear,Very High,Highway,20.6,7.2,17.51,8.635065676756138,West,West,Other
TRIP_00037,Preet Vihar,Pitampura,17.1,Evening Peak,Weekday,Fog,High,Highway,23.4,46.4,19.889999999999997,51.58371040723983,Other,North,Other
TRIP_00038,Punjabi Bagh,Model Town,7.93,Evening Peak,Weekday,Heatwave,Very High,Main Road,13.1,35.6,11.135,42.730130220026936,West,North,West Delhi
TRIP_00039,Okhla,Civil Lines,17.22,Afternoon,Weekday,Clear,Low,Inner Road,35.7,30.6,30.345000000000002,34.04844290657439,Other,Other,Other
TRIP_00040,Okhla,Rajouri Garden,19.41,Afternoon,Weekday,Clear,High,Main Road,21.1,65.6,17.935000000000002,64.93448564259826,Other,West,Other
TRIP_00041,Vasant Kunj,Chandni Chowk,16.27,Afternoon,Weekday,Heatwave,Medium,Highway,47.0,22.5,39.949999999999996,24.435544430538176,South,Central,South Delhi
TRIP_00042,Preet Vihar,Lajpat Nagar,9.58,Morning Peak,Weekend,Rain,Low,Highway,61.9,9.3,52.614999999999995,10.92464126199753,Other,Other,Other
TRIP_00043,Vasant Kunj,Shahdara,21.4,Evening Peak,Weekday,Clear,Very High,Highway,18.9,66.6,16.064999999999998,79.92530345471522,South,Other,South Delhi
TRIP_00044,Preet Vihar,Rajouri Garden,16.6,Afternoon,Weekday,Clear,Low,Main Road,54.1,19.5,45.985,21.659236707622053,Other,West,Other
TRIP_00045,Model Town,Noida Sector 18,20.73,Afternoon,Weekday,Fog,Very High,Highway,9.1,144.0,7.734999999999999,160.8015513897867,North,Other,North Delhi
TRIP_00046,Dwarka,Rohini,17.53,Evening Peak,Weekday,Clear,High,Highway,45.8,23.1,38.93,27.017724120215775,West,North,West Delhi
TRIP_00047,Pitampura,Preet Vihar,17.1,Night,Weekday,Clear,Low,Highway,66.0,15.6,56.1,18.288770053475936,North,Other,Other
TRIP_00048,Saket,Janakpuri,15.88,Morning Peak,Weekday,Clear,High,Main Road,24.5,43.7,20.825,45.75270108043218,South,West,South Delhi
TRIP_00049,Rajouri Garden,Saket,15.91,Evening Peak,Weekday,Heatwave,Very High,Highway,14.3,69.6,12.155000000000001,78.53558206499382,West,South,Other
TRIP_00050,Model Town,Pitampura,5.98,Evening Peak,Weekday,Heatwave,Very High,Inner Road,7.9,51.3,6.715,53.43261355174982,North,North,North Delhi
TRIP_00051,Model Town,Saket,21.24,Night,Weekend,Clear,Medium,Main Road,41.1,35.9,34.935,36.47917561185057,North,South,North Delhi
TRIP_00052,Preet Vihar,Dwarka,24.67,Morning Peak,Weekday,Rain,High,Highway,28.1,54.8,23.885,61.97194892191752,Other,West,Other
TRIP_00053,Mayur Vihar,Connaught Place,7.89,Evening Peak,Weekday,Heatwave,High,Highway,29.6,16.4,25.16,18.81558028616852,Other,Central,Other
TRIP_00054,Rajouri Garden,Vasant Kunj,14.56,Morning Peak,Weekday,Clear,High,Highway,38.0,23.0,32.3,27.046439628482975,West,South,Other
TRIP_00055,IGI Airport,Chandni Chowk,16.54,Afternoon,Weekday,Heatwave,Very High,Highway,20.8,47.4,17.68,56.13122171945702,Other,Central,Other
TRIP_00056,Karol Bagh,Vasant Kunj,15.08,Afternoon,Weekday,Rain,Medium,Highway,32.3,30.7,27.455,32.95574576579858,Central,South,Central Delhi
TRIP_00057,Lajpat Nagar,Dwarka,18.84,Afternoon,Weekend,Clear,Medium,Highway,47.1,23.6,40.035000000000004,28.235294117647054,Other,West,Other
TRIP_00058,Greater Kailash,Kalkaji,2.15,Afternoon,Weekday,Clear,High,Main Road,21.2,6.0,18.02,7.158712541620422,South,South,South Delhi
TRIP_00059,Greater Kailash,Chandni Chowk,11.55,Afternoon,Weekday,Clear,Low,Main Road,37.5,19.6,31.875,21.741176470588236,South,Central,South Delhi
TRIP_00060,IGI Airport,Greater Kailash,13.13,Morning Peak,Weekend,Clear,High,Highway,31.0,26.2,26.349999999999998,29.897533206831124,Other,South,Other
TRIP_00061,Pitampura,Civil Lines,9.41,Morning Peak,Weekend,Clear,Medium,Highway,59.6,9.7,50.66,11.144887485195422,North,Other,Other
TRIP_00062,Greater Kailash,Mayur Vihar,9.55,Morning Peak,Weekday,Clear,High,Main Road,23.7,25.1,20.145,28.44378257632167,South,Other,South Delhi
TRIP_00063,Lajpat Nagar,Punjabi Bagh,15.06,Evening Peak,Weekday,Clear,Very High,Main Road,10.3,87.7,8.755,103.20959451741861,Other,West,Other
TRIP_00064,Kalkaji,AIIMS,5.39,Morning Peak,Weekday,Clear,Very High,Highway,20.1,17.7,17.085,18.928884986830553,South,Other,South Delhi
TRIP_00065,Saket,Dwarka,17.4,Night,Weekend,Clear,High,Highway,44.6,24.2,37.910000000000004,27.538907939857552,South,West,South Delhi
TRIP_00066,Karol Bagh,Civil Lines,4.62,Afternoon,Weekday,Fog,Medium,Inner Road,13.1,21.9,11.135,24.894476874719356,Central,Other,Central Delhi
TRIP_00067,Connaught Place,Chandni Chowk,2.54,Morning Peak,Weekday,Clear,High,Inner Road,8.0,21.5,6.8,22.411764705882355,Central,Central,Central Delhi
TRIP_00068,Preet Vihar,Lajpat Nagar,9.58,Evening Peak,Weekday,Rain,Very High,Main Road,8.1,71.1,6.885,83.48583877995642,Other,Other,Other
TRIP_00069,Mayur Vihar,Rajouri Garden,17.23,Morning Peak,Weekday,Heatwave,Medium,Highway,59.0,20.7,50.15,20.61415752741775,Other,West,Other
TRIP_00070,Shahdara,Rohini,24.21,Morning Peak,Weekend,Rain,Medium,Highway,44.8,33.8,38.08,38.14600840336135,Other,North,Other
TRIP_00071,Shahdara,Okhla,15.92,Evening Peak,Weekday,Clear,Very High,Highway,18.0,51.8,15.299999999999999,62.43137254901961,Other,Other,Other
TRIP_00072,Vasant Kunj,Okhla,11.21,Afternoon,Weekday,Rain,High,Highway,30.2,23.1,25.669999999999998,26.20179197506818,South,Other,South Delhi
TRIP_00073,Hauz Khas,Connaught Place,9.27,Evening Peak,Weekend,Clear,Medium,Main Road,36.4,15.0,30.939999999999998,17.97672915319974,Other,Central,Other
TRIP_00074,Chandni Chowk,Dwarka,19.18,Afternoon,Weekday,Clear,Medium,Main Road,34.8,32.1,29.58,38.904665314401626,Central,West,Central Delhi
TRIP_00075,Dwarka,Saket,17.4,Evening Peak,Weekday,Fog,Very High,Highway,9.1,114.3,7.734999999999999,134.97091144149968,West,South,West Delhi
TRIP_00076,Preet Vihar,Lajpat Nagar,9.58,Afternoon,Weekday,Clear,High,Inner Road,14.9,40.6,12.665,45.384919068298466,Other,Other,Other
TRIP_00077,Janakpuri,Punjabi Bagh,6.67,Evening Peak,Weekday,Clear,Very High,Inner Road,9.5,41.3,8.075,49.56037151702787,West,West,West Delhi
TRIP_00078,Shahdara,Dwarka,25.37,Morning Peak,Weekend,Heatwave,Medium,Highway,49.0,31.1,41.65,36.547418967587035,Other,West,Other
TRIP_00079,Kalkaji,Nehru Place,1.51,Morning Peak,Weekday,Heatwave,Very High,Inner Road,8.3,12.7,7.055000000000001,12.841956059532246,South,Other,South Delhi
TRIP_00080,Greater Kailash,Noida Sector 18,9.35,Evening Peak,Weekday,Clear,High,Inner Road,10.7,51.9,9.094999999999999,61.68224299065421,South,Other,South Delhi
TRIP_00081,Model Town,Kalkaji,20.77,Afternoon,Weekday,Heatwave,Medium,Highway,48.2,26.0,40.97,30.417378569685134,North,South,North Delhi
TRIP_00082,IGI Airport,Rajouri Garden,10.32,Afternoon,Weekday,Rain,Medium,Main Road,25.5,25.1,21.675,28.567474048442907,Other,West,Other
TRIP_00083,Greater Kailash,Model Town,19.14,Afternoon,Weekday,Clear,Medium,Main Road,43.4,26.3,36.89,31.13038763892654,South,North,South Delhi
TRIP_00084,Connaught Place,IGI Airport,14.14,Night,Weekend,Heatwave,Low,Main Road,38.1,22.6,32.385,26.197313571097734,Central,Other,Central Delhi
TRIP_00085,Noida Sector 18,Chandni Chowk,12.9,Evening Peak,Weekend,Clear,High,Main Road,30.2,26.7,25.669999999999998,30.15192832099728,Other,Central,Other
TRIP_00086,Okhla,Saket,6.33,Morning Peak,Weekday,Clear,Medium,Main Road,41.4,9.0,35.19,10.792838874680307,Other,South,Other
TRIP_00087,Punjabi Bagh,Karol Bagh,6.08,Night,Weekday,Clear,Medium,Main Road,27.8,13.1,23.63,15.438002539145156,West,Central,West Delhi
TRIP_00088,Nehru Place,Karol Bagh,12.97,Evening Peak,Weekday,Heatwave,Very High,Highway,19.2,41.0,16.32,47.68382352941177,Other,Central,Other
TRIP_00089,Punjabi Bagh,Okhla,20.5,Afternoon,Weekday,Rain,Medium,Highway,41.3,29.2,35.105,35.037743911123776,West,Other,West Delhi
TRIP_00090,Karol Bagh,IGI Airport,13.83,Evening Peak,Weekend,Clear,High,Main Road,18.2,46.3,15.469999999999999,53.63930187459599,Central,Other,Central Delhi
TRIP_00091,Kalkaji,Janakpuri,18.68,Morning Peak,Weekday,Clear,Very High,Highway,19.7,58.1,16.744999999999997,66.93341295909227,South,West,South Delhi
TRIP_00092,Kalkaji,Shahdara,15.71,Morning Peak,Weekday,Rain,Medium,Main Road,21.4,43.9,18.189999999999998,51.81968114348544,South,Other,South Delhi
TRIP_00093,Model Town,Vasant Kunj,22.01,Evening Peak,Weekend,Clear,Very High,Highway,18.2,73.9,15.469999999999999,85.36522301228186,North,South,North Delhi
TRIP_00094,Okhla,Pitampura,23.54,Evening Peak,Weekend,Clear,High,Highway,34.6,41.1,29.41,48.02448146888813,Other,North,Other
TRIP_00095,Lajpat Nagar,Pitampura,18.08,Afternoon,Weekday,Clear,Low,Inner Road,14.5,74.7,12.325,88.01622718052738,Other,North,Other
TRIP_00096,Model Town,Punjabi Bagh,7.93,Night,Weekday,Clear,Low,Inner Road,34.3,14.3,29.154999999999998,16.31967072543303,North,West,North Delhi
TRIP_00097,Hauz Khas,Nehru Place,5.2,Morning Peak,Weekday,Clear,Very High,Inner Road,8.2,40.1,6.969999999999999,44.763271162123395,Other,Other,Other
TRIP_00098,Kalkaji,AIIMS,5.39,Night,Weekday,Rain,Low,Inner Road,28.7,11.4,24.395,13.256814921090388,South,Other,South Delhi
TRIP_00099,Vasant Kunj,Rohini,27.39,Afternoon,Weekend,Clear,Medium,Highway,45.7,37.1,38.845,42.30660316643068,South,North,South Delhi
TRIP_00100,AIIMS,IGI Airport,10.81,Morning Peak,Weekday,Clear,Very High,Highway,20.5,32.4,17.425,37.22238163558106,Other,Other,Other
TRIP_00101,AIIMS,Rohini,25.2,Evening Peak,Weekday,Heatwave,High,Main Road,27.4,55.3,23.29,64.92056676685272,Other,North,Other
TRIP_00102,Kalkaji,Mayur Vihar,9.67,Evening Peak,Weekend,Heatwave,High,Main Road,22.1,28.3,18.785,30.886345488421615,South,Other,South Delhi
TRIP_00103,Punjabi Bagh,Dwarka,11.86,Evening Peak,Weekday,Clear,Very High,Highway,15.6,44.8,13.26,53.66515837104072,West,West,West Delhi
TRIP_00104,Saket,Hauz Khas,2.85,Morning Peak,Weekday,Heatwave,Very High,Inner Road,7.7,23.5,6.545,26.126814362108483,South,Other,South Delhi
TRIP_00105,Okhla,AIIMS,7.2,Evening Peak,Weekday,Clear,High,Main Road,20.4,24.3,17.34,24.913494809688583,Other,Other,Other
TRIP_00106,Model Town,Nehru Place,19.38,Night,Weekend,Clear,Low,Main Road,50.6,24.0,43.01,27.035573122529645,North,Other,North Delhi
TRIP_00107,IGI Airport,Chandni Chowk,16.54,Morning Peak,Weekend,Heatwave,Medium,Highway,48.5,19.9,41.225,24.07277137659187,Other,Central,Other
TRIP_00108,Janakpuri,Nehru Place,18.07,Afternoon,Weekend,Rain,Low,Highway,42.9,24.6,36.464999999999996,29.732620320855617,West,Other,West Delhi
TRIP_00109,Saket,Model Town,21.24,Evening Peak,Weekday,Heatwave,High,Highway,38.1,33.5,32.385,39.35155164427976,South,North,South Delhi
TRIP_00110,Preet Vihar,Shahdara,3.56,Evening Peak,Weekday,Heatwave,High,Main Road,18.2,11.6,15.469999999999999,13.80736910148675,Other,Other,Other
TRIP_00111,Dwarka,Vasant Kunj,13.52,Morning Peak,Weekend,Heatwave,Medium,Main Road,25.8,31.1,21.93,36.99042407660739,West,South,West Delhi
TRIP_00112,Punjabi Bagh,Dwarka,11.86,Evening Peak,Weekend,Clear,Medium,Highway,52.7,13.2,44.795,15.885701529188523,West,West,West Delhi
TRIP_00113,IGI Airport,Preet Vihar,21.04,Evening Peak,Weekday,Fog,High,Inner Road,8.1,187.9,6.885,183.35511982570804,Other,Other,Other
TRIP_00114,Dwarka,Rajouri Garden,9.64,Night,Weekday,Fog,Medium,Main Road,14.4,42.0,12.24,47.25490196078431,West,West,West Delhi
TRIP_00115,Chandni Chowk,Mayur Vihar,7.47,Evening Peak,Weekday,Fog,Low,Highway,38.3,12.2,32.555,13.767470434649056,Central,Other,Central Delhi
TRIP_00116,Karol Bagh,Chandni Chowk,3.94,Afternoon,Weekend,Clear,High,Inner Road,17.5,14.1,14.875,15.892436974789915,Central,Central,Central Delhi
TRIP_00117,Okhla,AIIMS,7.2,Morning Peak,Weekend,Heatwave,Low,Main Road,56.8,8.0,48.279999999999994,8.947804473902238,Other,Other,Other
TRIP_00118,Saket,Rohini,29.0,Afternoon,Weekday,Rain,High,Highway,30.8,57.7,26.18,66.46294881589,South,North,South Delhi
TRIP_00119,Lajpat Nagar,Chandni Chowk,8.98,Morning Peak,Weekday,Clear,High,Main Road,18.2,29.5,15.469999999999999,34.828700711053656,Other,Central,Other
TRIP_00120,Rohini,Kalkaji,30.48,Evening Peak,Weekday,Clear,Medium,Highway,53.0,38.8,45.05,40.59489456159823,North,South,North Delhi
TRIP_00121,Kalkaji,Karol Bagh,14.25,Evening Peak,Weekday,Clear,Low,Highway,71.6,12.2,60.85999999999999,14.048636214262244,South,Central,South Delhi
TRIP_00122,Preet Vihar,Connaught Place,7.48,Night,Weekend,Rain,Medium,Highway,33.4,13.1,28.389999999999997,15.808383233532936,Other,Central,Other
TRIP_00123,Okhla,Connaught Place,12.39,Evening Peak,Weekday,Clear,High,Highway,33.6,21.6,28.56,26.029411764705884,Other,Central,Other
TRIP_00124,Karol Bagh,Vasant Kunj,15.08,Evening Peak,Weekday,Fog,High,Highway,17.6,60.8,14.96,60.481283422459896,Central,South,Central Delhi
TRIP_00125,Vasant Kunj,Janakpuri,13.24,Evening Peak,Weekend,Rain,High,Highway,28.3,29.5,24.055,33.02431926834338,South,West,South Delhi
TRIP_00126,Greater Kailash,Rohini,28.43,Morning Peak,Weekday,Clear,Very High,Highway,19.8,88.3,16.830000000000002,101.35472370766487,South,North,South Delhi
TRIP_00127,Shahdara,Dwarka,25.37,Evening Peak,Weekend,Clear,Low,Highway,61.6,24.7,52.36,29.07181054239878,Other,West,Other
TRIP_00128,Rohini,Pitampura,8.97,Afternoon,Weekday,Clear,Medium,Inner Road,15.2,35.7,12.92,41.65634674922601,North,North,North Delhi
TRIP_00129,Saket,Dwarka,17.4,Evening Peak,Weekend,Clear,High,Main Road,23.7,44.3,20.145,51.82427401340283,South,West,South Delhi
TRIP_00130,Chandni Chowk,Karol Bagh,3.94,Evening Peak,Weekday,Heatwave,High,Main Road,21.1,11.7,17.935000000000002,13.180931140228601,Central,Central,Central Delhi
TRIP_00131,Lajpat Nagar,Dwarka,18.84,Night,Weekday,Clear,High,Highway,42.8,26.2,36.379999999999995,31.072017592083565,Other,West,Other
TRIP_00132,Chandni Chowk,Shahdara,6.2,Afternoon,Weekday,Clear,Medium,Main Road,43.4,8.8,36.89,10.08403361344538,Central,Other,Central Delhi
TRIP_00133,Lajpat Nagar,Preet Vihar,9.58,Morning Peak,Weekend,Clear,Medium,Highway,48.9,11.8,41.565,13.828942619992784,Other,Other,Other
TRIP_00134,Connaught Place,Hauz Khas,9.27,Morning Peak,Weekday,Rain,Medium,Main Road,19.3,29.7,16.405,33.904297470283446,Central,Other,Central Delhi
TRIP_00135,Model Town,Noida Sector 18,20.73,Evening Peak,Weekday,Heatwave,High,Highway,30.9,41.0,26.264999999999997,47.35579668760708,North,Other,North Delhi
TRIP_00136,Connaught Place,IGI Airport,14.14,Morning Peak,Weekday,Clear,Medium,Main Road,38.8,22.2,32.98,25.72468162522741,Central,Other,Central Delhi
TRIP_00137,Karol Bagh,Rajouri Garden,6.66,Night,Weekday,Clear,Low,Main Road,46.5,9.7,39.525,10.110056925996206,Central,West,Central Delhi
TRIP_00138,AIIMS,Lajpat Nagar,2.68,Night,Weekday,Rain,Low,Inner Road,13.9,12.1,11.815,13.609818027930599,Other,Other,Other
TRIP_00139,Janakpuri,Rajouri Garden,4.38,Morning Peak,Weekend,Heatwave,High,Main Road,27.2,9.9,23.119999999999997,11.366782006920417,West,West,West Delhi
TRIP_00140,Shahdara,Greater Kailash,15.04,Evening Peak,Weekday,Clear,High,Main Road,22.3,42.9,18.955000000000002,47.6074914270641,Other,South,Other
TRIP_00141,Kalkaji,Preet Vihar,12.39,Morning Peak,Weekday,Rain,Very High,Inner Road,5.2,150.0,4.42,168.19004524886878,South,Other,South Delhi
TRIP_00142,Preet Vihar,Pitampura,17.1,Afternoon,Weekday,Rain,Medium,Main Road,26.5,38.9,22.525,45.54938956714762,Other,North,Other
TRIP_00143,Connaught Place,Punjabi Bagh,9.3,Afternoon,Weekday,Clear,Medium,Main Road,39.3,14.4,33.404999999999994,16.70408621463853,Central,West,Central Delhi
TRIP_00144,Lajpat Nagar,Model Town,16.71,Evening Peak,Weekend,Fog,Low,Highway,40.6,25.0,34.51,29.052448565633153,Other,North,Other
TRIP_00145,AIIMS,Hauz Khas,2.2,Evening Peak,Weekday,Clear,Very High,Inner Road,9.0,15.5,7.6499999999999995,17.254901960784316,Other,Other,Other
TRIP_00146,Rajouri Garden,Chandni Chowk,10.59,Morning Peak,Weekday,Clear,Medium,Main Road,36.7,18.2,31.195,20.36864882192659,West,Central,Other
TRIP_00147,Lajpat Nagar,Model Town,16.71,Morning Peak,Weekday,Clear,Very High,Main Road,11.6,90.5,9.86,101.68356997971604,Other,North,Other
TRIP_00148,Vasant Kunj,Noida Sector 18,17.44,Evening Peak,Weekday,Heatwave,High,Highway,39.6,28.2,33.660000000000004,31.087344028520498,South,Other,South Delhi
TRIP_00149,Greater Kailash,AIIMS,3.26,Afternoon,Weekday,Fog,High,Main Road,12.6,16.1,10.709999999999999,18.263305322128854,South,Other,South Delhi
TRIP_00150,Saket,Dwarka,17.4,Morning Peak,Weekend,Clear,High,Highway,39.2,27.2,33.32,31.33253301320528,South,West,South Delhi
TRIP_00151,Rohini,Preet Vihar,25.98,Evening Peak,Weekday,Clear,Low,Highway,78.6,19.7,66.80999999999999,23.33183655141446,North,Other,North Delhi
TRIP_00152,Noida Sector 18,Karol Bagh,16.06,Morning Peak,Weekday,Rain,High,Main Road,17.7,54.5,15.044999999999998,64.04785643070788,Other,Central,Other
TRIP_00153,Dwarka,Vasant Kunj,13.52,Evening Peak,Weekday,Clear,Medium,Main Road,29.3,27.4,24.905,32.571772736398316,West,South,West Delhi
TRIP_00154,Dwarka,Shahdara,25.37,Afternoon,Weekday,Fog,Medium,Highway,36.2,42.8,30.770000000000003,49.47026324341891,West,Other,West Delhi
TRIP_00155,Rohini,AIIMS,25.2,Evening Peak,Weekend,Rain,High,Main Road,15.6,98.9,13.26,114.02714932126696,North,Other,North Delhi
TRIP_00156,Preet Vihar,Civil Lines,7.88,Morning Peak,Weekday,Clear,High,Inner Road,12.0,41.0,10.2,46.35294117647059,Other,Other,Other
TRIP_00157,Preet Vihar,IGI Airport,21.04,Afternoon,Weekday,Heatwave,Very High,Highway,20.3,71.8,17.255,73.1614024920313,Other,Other,Other
TRIP_00158,Connaught Place,Greater Kailash,9.57,Evening Peak,Weekend,Rain,Low,Main Road,28.7,19.6,24.395,23.53761016601763,Central,South,Central Delhi
TRIP_00159,Nehru Place,Connaught Place,9.83,Afternoon,Weekday,Clear,High,Main Road,29.0,21.5,24.65,23.926977687626778,Other,Central,Other
TRIP_00160,Janakpuri,Preet Vihar,20.09,Night,Weekday,Fog,Low,Main Road,32.1,39.1,27.285,44.178119846069265,West,Other,West Delhi
TRIP_00161,Nehru Place,Civil Lines,14.85,Afternoon,Weekday,Rain,Medium,Inner Road,16.8,52.1,14.28,62.39495798319328,Other,Other,Other
TRIP_00162,Dwarka,Chandni Chowk,19.18,Morning Peak,Weekend,Fog,Medium,Inner Road,14.9,75.8,12.665,90.86458744571655,West,Central,West Delhi
TRIP_00163,Dwarka,Civil Lines,20.04,Night,Weekday,Heatwave,Low,Highway,71.0,16.6,60.35,19.92377796188898,West,Other,West Delhi
TRIP_00164,Pitampura,Karol Bagh,8.11,Evening Peak,Weekday,Clear,Very High,Main Road,9.6,49.4,8.16,59.632352941176464,North,Central,Other
TRIP_00165,Nehru Place,IGI Airport,14.99,Morning Peak,Weekday,Clear,High,Highway,38.6,23.7,32.81,27.412374276135324,Other,Other,Other
TRIP_00166,Model Town,Saket,21.24,Evening Peak,Weekday,Rain,High,Highway,23.2,55.5,19.72,64.62474645030426,North,South,North Delhi
TRIP_00167,Vasant Kunj,AIIMS,7.41,Evening Peak,Weekday,Fog,Low,Main Road,24.6,18.0,20.91,21.262553802008608,South,Other,South Delhi
TRIP_00168,IGI Airport,Vasant Kunj,6.9,Evening Peak,Weekday,Fog,Very High,Main Road,4.8,86.5,4.08,101.47058823529412,Other,South,Other
TRIP_00169,Pitampura,Greater Kailash,20.1,Evening Peak,Weekday,Clear,High,Highway,41.0,29.5,34.85,34.60545193687231,North,South,Other
TRIP_00170,Hauz Khas,Pitampura,18.42,Evening Peak,Weekend,Heatwave,High,Highway,38.1,28.8,32.385,34.126910606762394,Other,North,Other
